ID,PTS,REB,AST,STL,BLK,TOV,FGper,threeper,FTper
1628476,10.5,3.37,6.29,1.32,0.21,2.68,0.393,0.315,0.792
1628677,9.25,5.15,2.64,1.27,0.2,2.12,0.421,0.311,0.78
1628604,10.13,7.42,0.51,0.66,1.88,1.08,0.467,0.328,0.692
1056,6.96,2.75,3.74,1.03,0.22,1.29,0.354,0.31,0.648
1627226,7.28,5.11,0.61,1.16,0.83,0.68,0.413,0.304,0.751
1627785,15.14,3.63,3.81,1.21,0.34,3.42,0.397,0.308,0.767
202779,12.46,3.42,3.52,1.05,0.17,2.48,0.391,0.306,0.745
1628672,7.55,3.21,6.62,1.37,0.08,2.56,0.36,0.254,0.753
1626261,8.85,12.48,0.42,0.21,1.56,2.33,0.446,0.0,0.694
1628527,7.25,2.71,2.77,0.82,0.08,0.95,0.39,0.32,0.657
1627826,13.21,8.7,1.23,0.18,1.45,2.48,0.5,0.262,0.769
1627744,10.49,9.54,1.13,0.87,1.02,2.01,0.447,0.261,0.71
202388,11.28,3.29,5.0,1.03,0.1,2.41,0.388,0.312,0.776
1628435,10.58,8.67,0.86,0.27,0.93,1.49,0.494,0.0,0.705
1627740,11.31,6.89,0.86,0.62,0.61,1.36,0.416,0.3,0.748
1627781,9.54,4.26,2.08,1.3,0.14,2.33,0.353,0.299,0.748
1627919,6.86,6.45,0.78,1.27,0.96,0.6,0.443,0.272,0.684
1628424,10.35,2.43,3.87,1.08,0.25,2.38,0.39,0.309,0.73
203088,8.85,2.9,7.03,1.07,0.09,3.11,0.399,0.306,0.766
1628456,7.22,4.12,2.59,1.31,0.62,1.0,0.375,0.29,0.754
202874,10.92,5.25,1.51,1.63,1.11,1.77,0.471,0.28,0.642
1628621,8.81,2.82,3.97,1.18,0.17,1.6,0.363,0.31,0.759
1628246,6.23,4.67,1.91,1.13,0.17,1.06,0.421,0.335,0.714
1627997,6.66,7.46,0.98,1.15,1.49,1.21,0.468,0.268,0.684
1627218,8.62,4.7,4.04,1.25,0.26,1.37,0.393,0.321,0.726
200769,7.01,3.28,1.74,1.17,0.25,1.41,0.374,0.278,0.708
1628525,8.23,2.99,1.48,0.84,0.23,1.78,0.381,0.283,0.694
203989,9.7,7.9,1.28,1.18,0.56,1.92,0.463,0.281,0.67
204083,9.92,3.76,1.7,1.9,0.39,1.24,0.427,0.314,0.72
1627316,6.37,4.12,1.87,0.86,0.62,1.84,0.39,0.287,0.767
1628536,6.28,4.4,2.41,0.78,0.76,0.87,0.401,0.0,0.685
1628554,9.1,4.06,2.27,1.11,0.28,1.51,0.381,0.295,0.761
1628549,10.03,5.76,0.98,1.37,0.56,1.98,0.386,0.285,0.75
203908,8.27,7.0,1.04,0.89,1.28,1.51,0.383,0.257,0.754
1628753,5.38,3.78,7.54,2.97,0.35,3.21,0.349,0.251,0.715
1628431,9.37,3.2,0.61,0.86,0.53,0.6,0.425,0.324,0.78
203913,13.03,2.55,2.7,0.88,0.16,2.56,0.4,0.323,0.759
1628638,6.8,4.41,0.85,0.46,0.18,0.57,0.399,0.299,0.722
1628392,10.66,9.8,1.44,0.41,1.38,2.22,0.485,0.301,0.69
1628396,10.9,9.49,1.13,0.39,1.14,1.65,0.491,0.0,0.753
1628494,9.8,3.61,4.45,1.33,0.02,2.38,0.373,0.236,0.688
1628444,11.35,4.52,2.45,1.18,0.4,1.79,0.429,0.293,0.644
1627896,9.47,7.58,0.67,1.07,1.57,0.66,0.481,0.275,0.719
1628401,14.11,4.91,3.76,1.35,1.07,2.49,0.398,0.295,0.779
203920,9.51,8.45,2.14,1.19,1.9,1.49,0.499,0.0,0.74
1628429,10.63,4.36,2.33,1.45,0.43,2.75,0.4,0.271,0.648
1627981,8.77,5.87,0.84,0.75,0.88,0.91,0.444,0.301,0.717
1627753,9.27,6.78,1.02,0.34,2.05,1.89,0.46,0.296,0.626
1627849,8.87,8.43,1.6,1.0,1.77,2.42,0.499,0.0,0.65
1628625,6.99,4.71,1.72,0.88,0.66,0.99,0.384,0.294,0.681
203547,11.37,4.6,0.65,0.77,1.38,2.29,0.44,0.301,0.767
1627746,11.34,7.98,0.94,0.44,1.52,2.4,0.46,0.257,0.681
1627660,7.73,8.91,0.82,0.3,2.17,1.41,0.493,0.319,0.61
1628842,9.12,5.94,2.16,0.68,0.43,1.61,0.387,0.295,0.734
1628552,10.7,2.2,5.58,1.17,0.2,3.18,0.397,0.3,0.75
1628754,7.9,7.69,1.05,0.42,2.05,1.29,0.524,0.0,0.673
2570,8.94,9.39,2.25,0.46,0.82,2.79,0.47,0.0,0.664
1627987,8.52,6.99,1.86,0.75,0.96,1.87,0.508,0.0,0.668
203940,11.07,8.9,1.59,1.1,0.82,2.16,0.428,0.278,0.778
1628548,8.74,5.23,0.88,0.26,0.56,1.86,0.464,0.0,0.731
1628734,7.79,6.87,1.32,1.03,1.29,1.08,0.476,0.21,0.677
1627824,11.88,6.45,1.81,1.0,1.24,2.19,0.453,0.314,0.751
1628617,6.76,3.3,2.27,1.22,0.39,1.2,0.369,0.31,0.834
1626993,5.81,5.61,1.75,1.37,0.28,1.4,0.361,0.148,0.663
1628017,6.65,4.88,2.05,0.92,0.28,1.61,0.363,0.314,0.681
1628841,7.36,7.27,1.19,1.34,0.51,0.95,0.44,0.275,0.662
1628470,13.17,6.49,2.37,1.02,1.47,1.68,0.444,0.319,0.74
1628654,7.61,4.39,1.45,1.85,0.48,0.88,0.357,0.314,0.751
2731,7.77,11.3,1.69,0.8,1.47,1.84,0.502,0.0,0.697
1628590,5.89,2.81,4.22,1.54,0.38,2.06,0.343,0.263,0.717
1628533,7.83,4.16,1.48,0.72,0.57,1.24,0.394,0.313,0.736
203949,8.07,6.36,1.96,1.43,1.49,1.44,0.416,0.265,0.709
1628397,11.32,9.43,1.79,0.96,1.47,1.35,0.486,0.363,0.722
203684,6.17,2.31,4.66,1.0,0.12,1.62,0.37,0.236,0.718
1628777,8.81,3.86,1.09,1.11,0.37,1.54,0.395,0.303,0.711
1628387,7.97,7.38,1.04,0.2,1.67,1.45,0.463,0.0,0.699
1628596,7.99,2.96,1.69,1.01,0.28,1.17,0.357,0.295,0.604
1626999,6.81,2.85,2.35,1.33,0.49,1.7,0.394,0.279,0.74
203093,12.99,6.65,3.76,1.18,1.16,2.4,0.469,0.313,0.604
1627836,6.74,8.09,0.72,0.6,0.52,1.81,0.454,0.0,0.713
1627999,6.74,2.4,2.37,1.29,0.36,2.03,0.38,0.284,0.662
1627813,5.84,6.85,0.43,0.45,2.79,2.11,0.47,0.0,0.409
1628399,8.83,7.6,1.61,0.96,0.54,0.48,0.464,0.311,0.716
1627932,9.54,2.82,1.34,0.95,0.11,0.87,0.393,0.326,0.761
1628422,10.81,4.73,2.41,1.01,0.11,2.24,0.415,0.321,0.731
1627790,12.93,10.23,1.38,0.46,1.05,2.56,0.488,0.0,0.735
1628565,5.64,3.2,4.14,1.17,0.63,2.21,0.332,0.217,0.703
203489,9.52,4.49,5.8,0.96,0.13,2.21,0.378,0.265,0.782
1628686,8.81,7.07,2.65,1.38,0.31,1.48,0.437,0.296,0.632
1628674,8.23,5.35,0.54,0.95,0.18,0.4,0.4,0.288,0.775
1628545,9.23,9.63,1.2,0.62,1.34,2.18,0.466,0.342,0.722
1628449,11.04,9.35,0.93,0.74,2.21,0.78,0.441,0.243,0.656
1626180,9.35,6.7,1.98,1.09,0.65,1.62,0.362,0.269,0.664
1628616,7.45,3.44,4.21,0.82,0.12,1.63,0.398,0.303,0.785
