Name,ID,Team,Age,GP,FGA,3PM,REB,AST,PTS,MIN,FGM,FGP,3PA,3PPER,FTM,FTA,FTPER,TOV,STL,BLK
Taylor Braun,1628579,SLC,26,45,8.7,1.8,6.0,3.3,11.2,1469.3816666666667,4.0,0.456,4.7,0.389,1.4,1.8,0.781,1.2,1.8,0.3
Taylor King,1628593,ACC,30,9,8.6,1.6,9.3,0.8,9.7,92.54666666666667,3.5,0.409,4.7,0.333,1.2,3.5,0.333,1.9,0.4,1.2
Terrance Ferguson,1628390,OKL,20,3,13.9,1.9,4.6,1.2,17.0,93.41333333333333,6.6,0.472,6.9,0.278,1.9,2.7,0.714,3.1,1.5,0.4
Terrence Jones,203093,SCW,26,16,16.4,1.2,8.6,5.6,23.2,476.99333333333334,8.7,0.53,3.2,0.372,4.7,8.9,0.525,3.7,1.4,1.6
Terry Henderson,1628516,GBO,24,42,12.3,3.0,5.0,2.7,14.7,1156.3066666666666,5.0,0.402,7.7,0.386,1.9,2.4,0.789,2.2,1.2,0.4
Theron Laudermill,1628874,ACC,28,1,58.4,0.0,0.0,0.0,0.0,1.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Bryant,1628418,SBL,20,37,15.1,2.1,8.6,2.5,23.1,1135.125,9.0,0.595,5.8,0.364,2.9,4.4,0.674,2.0,0.7,1.7
Thomas Wimbush,1628549,LIN,24,43,13.9,1.9,7.4,1.5,16.9,739.7016666666667,5.0,0.358,6.2,0.307,5.1,6.3,0.808,3.1,1.8,0.7
Tim Quarterman,1627817,ACC,23,11,12.3,1.7,6.0,7.4,12.5,282.03333333333336,4.5,0.365,5.6,0.295,1.9,2.7,0.714,6.4,1.9,0.3
Tommy Williams,1628689,ERI,25,40,9.5,0.4,7.6,2.2,8.8,415.5966666666667,3.5,0.364,2.0,0.217,1.5,2.2,0.68,2.8,2.0,1.6
Tony Bradley,1628396,SLC,20,24,14.1,0.0,12.4,1.7,18.8,710.2833333333333,8.2,0.579,0.2,0.0,2.4,3.0,0.814,2.0,0.9,1.6
Tony Mitchell,203183,SXF,28,44,20.0,3.2,7.2,4.7,22.8,1291.8766666666668,8.4,0.42,10.2,0.315,2.8,3.8,0.73,3.3,2.1,1.1
Tony Parker,1628143,IWA,24,7,10.7,0.0,12.1,0.7,14.8,53.68333333333333,6.7,0.625,0.0,0.0,1.3,2.7,0.5,2.0,3.4,0.7
Tony Wroten,203100,RGV,25,35,14.9,1.0,3.4,6.4,18.0,744.735,6.7,0.45,3.9,0.259,3.5,6.6,0.537,5.8,1.6,0.3
Torian Graham,1628680,SLC,25,28,21.6,3.6,5.2,0.9,20.9,419.7183333333333,8.1,0.377,12.4,0.292,1.0,1.6,0.632,2.2,1.5,0.3
Torrey Craig,1628470,SXF,27,15,17.8,2.7,8.4,3.5,23.7,523.42,8.5,0.475,6.9,0.386,4.1,5.2,0.787,2.7,1.2,2.1
Tra-Deon Hollins,1628753,FWN,22,40,8.3,0.7,4.9,9.5,7.9,722.0716666666667,2.9,0.355,3.1,0.238,1.2,1.7,0.735,4.0,4.5,0.4
Trahson Burrell,1627897,MHU,25,32,11.6,1.7,9.2,4.3,14.6,1057.955,5.6,0.48,4.2,0.398,1.7,2.6,0.68,2.3,1.7,0.6
Travis Wear,204037,SBL,27,33,15.8,3.5,9.8,2.3,19.6,1010.24,7.0,0.445,8.3,0.419,2.1,2.5,0.855,1.5,0.9,0.5
