Name,ID,Team,Age,GP,FGA,3PM,REB,AST,PTS,MIN,FGM,FGP,3PA,3PPER,FTM,FTA,FTPER,TOV,STL,BLK
Jon Horford,1626281,GRD,27,8,7.5,0.3,14.5,2.8,8.8,143.555,3.5,0.467,1.3,0.2,1.5,2.3,0.667,2.8,1.0,0.5
Jon Octeus,1627218,WCB,27,16,8.2,0.7,5.7,4.4,7.9,344.8666666666667,3.0,0.367,2.6,0.28,1.1,2.6,0.44,2.4,0.8,0.2
Jonah Bolden,1628413,DEL,22,4,15.2,2.2,13.3,3.3,16.8,132.87833333333333,5.7,0.375,7.0,0.308,3.3,4.9,0.667,1.9,1.1,1.1
Jonathan Stark,1629236,IWA,23,14,11.9,1.5,3.0,5.7,12.3,458.47833333333335,5.1,0.43,3.8,0.396,0.6,1.1,0.571,1.8,1.3,0.0
Jordan Barnett,1629153,WIS,22,13,8.5,1.3,3.1,1.8,9.9,298.20666666666665,4.0,0.471,4.9,0.268,0.6,0.7,0.833,0.8,0.8,0.8
Jordan Green,1626999,AUS,25,13,6.5,0.6,1.6,2.5,9.0,380.6483333333333,3.5,0.536,1.1,0.5,1.4,1.5,0.938,2.3,1.0,0.4
Jordan Howard,1629235,TEX,22,3,10.2,1.5,2.9,6.5,12.3,49.61666666666667,2.9,0.286,5.8,0.25,5.1,5.8,0.875,0.0,2.2,0.0
Jordan Loyd,1628070,RAP,25,13,15.9,2.3,5.4,5.2,23.0,454.82,8.0,0.502,6.3,0.367,4.7,5.5,0.843,2.5,1.7,0.3
Jordan McLaughlin,1629162,LIN,22,14,14.5,2.4,4.2,5.9,18.4,398.35833333333335,6.5,0.447,8.4,0.29,3.0,3.7,0.805,2.3,2.4,0.3
Jordan McRae,203895,CAP,27,7,22.2,2.2,5.5,4.0,28.0,241.57333333333332,10.3,0.463,6.3,0.357,5.2,6.0,0.875,2.2,1.5,0.3
Jordan Sibert,1626296,ERI,26,11,15.2,4.3,5.3,2.3,17.7,217.4,5.8,0.38,11.8,0.366,1.8,2.0,0.917,1.7,1.2,1.0
Josh Newkirk,1629306,TEX,24,12,12.7,2.8,2.4,4.1,12.7,104.48333333333333,4.5,0.351,7.9,0.348,1.0,1.4,0.75,3.1,0.3,0.0
Jovan Mooring,1629350,GRD,23,3,20.0,2.8,5.5,3.5,24.2,52.1,7.6,0.379,9.0,0.308,6.2,7.6,0.818,5.5,0.7,0.0
